
MOSEK Version 8.0.0.51 (Build date: 2016-12-14 12:53:47)
Copyright (c) MOSEK ApS, Denmark. WWW: mosek.com
Platform: Linux/64-X86

MOSEK warning 710: #13 (nearly) zero elements are specified in sparse col '' (16) of matrix 'A'.
MOSEK warning 710: #14 (nearly) zero elements are specified in sparse col '' (17) of matrix 'A'.
MOSEK warning 710: #13 (nearly) zero elements are specified in sparse col '' (18) of matrix 'A'.
MOSEK warning 710: #12 (nearly) zero elements are specified in sparse col '' (19) of matrix 'A'.
MOSEK warning 710: #10 (nearly) zero elements are specified in sparse col '' (20) of matrix 'A'.
MOSEK warning 710: #10 (nearly) zero elements are specified in sparse col '' (21) of matrix 'A'.
MOSEK warning 710: #9 (nearly) zero elements are specified in sparse col '' (22) of matrix 'A'.
MOSEK warning 710: #8 (nearly) zero elements are specified in sparse col '' (23) of matrix 'A'.
MOSEK warning 710: #7 (nearly) zero elements are specified in sparse col '' (24) of matrix 'A'.
MOSEK warning 710: #6 (nearly) zero elements are specified in sparse col '' (25) of matrix 'A'.
Warning number 710 is disabled.
Problem
  Name                   :                 
  Objective sense        : min             
  Type                   : CONIC (conic optimization problem)
  Constraints            : 822             
  Cones                  : 1               
  Scalar variables       : 515             
  Matrix variables       : 0               
  Integer variables      : 256             

Optimizer started.
Mixed integer optimizer started.
Threads used: 72
Presolve started.
Presolve terminated. Time = 3.22
Presolved problem: 507 variables, 309 constraints, 6902 non-zeros
Presolved problem: 0 general integer, 249 binary, 258 continuous
Clique table size: 278
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
0        1        0        0        NA                   3.2265007740e+01     NA          5.0   
Cut generation started.
0        2        0        0        NA                   3.2265007740e+01     NA          7.9   
Cut generation terminated. Time = 0.82
15       18       14       3        NA                   3.2532626299e+01     NA          10.6  
28       31       25       4        NA                   3.2712499595e+01     NA          11.0  
51       54       46       5        NA                   3.3118237163e+01     NA          11.6  
93       96       86       6        NA                   3.3136242598e+01     NA          12.8  
161      164      142      7        NA                   3.3136242598e+01     NA          14.6  
224      227      193      8        NA                   3.3891444378e+01     NA          15.4  
358      362      317      9        NA                   3.3977319418e+01     NA          16.1  
646      652      583      13       NA                   3.5689449395e+01     NA          18.1  
1222     1192     959      11       NA                   3.5689449395e+01     NA          20.8  
2158     2063     1303     20       1.1828957956e+02     3.6127335235e+01     69.46       25.3  
3454     3323     2075     32       1.1828957956e+02     3.7545047721e+01     68.26       31.7  
5470     5187     3303     30       1.1777570410e+02     3.7704572447e+01     67.99       37.7  
7754     7342     4605     16       1.1777570410e+02     3.7853047455e+01     67.86       42.4  
9999     9495     5898     33       1.1738450767e+02     3.8012493898e+01     67.62       49.8  
12277    11635    7348     45       1.1738450767e+02     3.8106722797e+01     67.54       55.8  
14613    13790    8728     65       1.1738450767e+02     4.0208337854e+01     65.75       62.9  
16889    15950    10196    68       1.1738450767e+02     4.1234950782e+01     64.87       67.9  
19218    18109    11617    40       1.1738450767e+02     4.3904966780e+01     62.60       73.4  
21537    20273    13036    45       1.1738450767e+02     4.5349188987e+01     61.37       79.5  
23912    22441    14363    44       1.1738450767e+02     4.5724943175e+01     61.05       85.8  
26282    24616    15715    52       1.1727892221e+02     4.6149450262e+01     60.65       92.4  
28644    26775    17023    43       1.1727892221e+02     4.6317562165e+01     60.51       97.6  
30979    28949    18408    68       1.1727892221e+02     4.7200313027e+01     59.75       104.6 
33335    31117    19740    41       1.1727892221e+02     4.7518301288e+01     59.48       110.4 
35693    33295    21154    38       1.1727892221e+02     4.7938484012e+01     59.12       116.7 
38017    35484    22626    73       1.1727892221e+02     4.8200658477e+01     58.90       122.3 
40344    37665    24033    45       1.1727892221e+02     4.8422972793e+01     58.71       129.2 
42717    39850    25436    41       1.1727892221e+02     4.8600575511e+01     58.56       135.6 
45115    42028    26796    43       1.1727892221e+02     4.8765867736e+01     58.42       140.0 
47379    44137    28102    64       1.1701880515e+02     4.8930149918e+01     58.19       146.0 
49707    46318    29450    44       1.1701880515e+02     4.9243082494e+01     57.92       151.7 
52055    48494    30788    27       1.1701880515e+02     4.9392055111e+01     57.79       157.4 
54366    50680    32133    33       1.1701880515e+02     4.9546715811e+01     57.66       164.2 
56694    52862    33467    58       1.1683102316e+02     4.9696890394e+01     57.46       170.9 
59055    55034    34834    45       1.1683102316e+02     4.9799301226e+01     57.37       177.5 
61407    57210    36148    38       1.1683102316e+02     4.9878221951e+01     57.31       182.6 
63747    59393    37490    64       1.1683102316e+02     4.9956077579e+01     57.24       190.4 
66089    61580    38906    44       1.1683102316e+02     5.0189285782e+01     57.04       197.2 
68446    63760    40207    51       1.1683102316e+02     5.0287607032e+01     56.96       202.6 
70809    65941    41570    26       1.1683102316e+02     5.0425255815e+01     56.84       209.6 
73163    68118    42950    27       1.1683102316e+02     5.0541735557e+01     56.74       214.8 
75531    70302    44284    54       1.1683102316e+02     5.0605657344e+01     56.68       221.7 
77895    72481    45660    58       1.1683102316e+02     5.0714708644e+01     56.59       227.4 
80242    74664    47067    18       1.1683102316e+02     5.0815243742e+01     56.51       233.8 
82587    76847    48462    58       1.1683102316e+02     5.0929108845e+01     56.41       240.3 
84934    79025    49841    65       1.1683102316e+02     5.1006384486e+01     56.34       245.0 
87284    81208    51213    72       1.1683102316e+02     5.1122780359e+01     56.24       251.0 
89574    83328    52547    34       1.1683102316e+02     5.1212362137e+01     56.17       256.8 
91941    85513    53924    23       1.1683102316e+02     5.1293474791e+01     56.10       261.7 
94276    87691    55267    22       1.1683102316e+02     5.1389483042e+01     56.01       267.6 
96632    89874    56607    27       1.1683102316e+02     5.1474280365e+01     55.94       272.8 
98975    92060    58000    55       1.1683102316e+02     5.1560074562e+01     55.87       278.1 
101320   94240    59381    51       1.1683102316e+02     5.1676514241e+01     55.77       284.1 
103680   96420    60737    28       1.1683102316e+02     5.1738511833e+01     55.72       288.5 
105993   98599    62118    51       1.1683102316e+02     5.1797161313e+01     55.66       294.9 
108305   100769   63442    36       1.1683102316e+02     5.1873016133e+01     55.60       300.6 
110633   102939   64786    16       1.1683102316e+02     5.1955893738e+01     55.53       305.7 
112962   105122   66149    22       1.1683102316e+02     5.2020332959e+01     55.47       312.5 
115281   107304   67458    27       1.1683102316e+02     5.2080037368e+01     55.42       318.0 
117634   109476   68731    41       1.1683102316e+02     5.2146839528e+01     55.37       323.5 
119965   111647   70058    43       1.1683102316e+02     5.2215601956e+01     55.31       328.9 
122275   113825   71440    36       1.1683102316e+02     5.2277772590e+01     55.25       334.4 
124622   115999   72787    47       1.1637116399e+02     5.2345029088e+01     55.02       340.1 
126945   118171   74110    63       1.1637116399e+02     5.2395444346e+01     54.98       346.9 
129222   120296   75461    54       1.1637116399e+02     5.2478821515e+01     54.90       352.6 
131525   122474   76800    53       1.1637116399e+02     5.2551607951e+01     54.84       358.7 
133846   124649   78111    31       1.1637116399e+02     5.2568025131e+01     54.83       364.3 
136174   126827   79451    22       1.1637116399e+02     5.2668344402e+01     54.74       371.4 
138475   128998   80772    52       1.1637116399e+02     5.2720062945e+01     54.70       377.9 
140800   131175   82147    42       1.1637116399e+02     5.2786722949e+01     54.64       383.9 
143130   133349   83409    42       1.1637116399e+02     5.2840238531e+01     54.59       390.3 
145465   135527   84718    43       1.1637116399e+02     5.2901836018e+01     54.54       395.1 
147801   137702   86052    27       1.1637116399e+02     5.2949336443e+01     54.50       401.3 
150144   139876   87377    57       1.1637116399e+02     5.2990828678e+01     54.46       407.3 
152486   142048   88659    36       1.1637116399e+02     5.3071499511e+01     54.39       412.9 
154825   144224   89976    39       1.1637116399e+02     5.3118761135e+01     54.35       419.6 
157156   146398   91267    20       1.1637116399e+02     5.3177876946e+01     54.30       424.6 
159520   148571   92565    62       1.1637116399e+02     5.3223373236e+01     54.26       429.9 
161885   150745   93896    30       1.1637116399e+02     5.3291446294e+01     54.21       435.8 
164256   152916   95229    66       1.1637116399e+02     5.3337368689e+01     54.17       441.9 
166513   155030   96558    52       1.1637116399e+02     5.3397070221e+01     54.11       448.6 
168881   157204   97904    66       1.1637116399e+02     5.3431366364e+01     54.09       454.2 
171248   159380   99231    50       1.1637116399e+02     5.3481666279e+01     54.04       457.6 
173621   161565   100550   70       1.1637116399e+02     5.3547642163e+01     53.99       463.3 
175953   163733   101848   26       1.1637116399e+02     5.3595108432e+01     53.94       468.8 
178297   165904   103172   50       1.1637116399e+02     5.3651594323e+01     53.90       475.6 
180656   168081   104517   37       1.1637116399e+02     5.3685308797e+01     53.87       482.2 
182970   170258   105811   61       1.1637116399e+02     5.3740349129e+01     53.82       486.6 
185298   172428   107165   50       1.1637116399e+02     5.3803926335e+01     53.77       490.7 
187625   174600   108446   38       1.1637116399e+02     5.3842903963e+01     53.73       496.0 
189991   176778   109780   54       1.1637116399e+02     5.3900809607e+01     53.68       500.9 
192358   178959   111077   43       1.1637116399e+02     5.3964105395e+01     53.63       506.9 
194739   181136   112366   42       1.1637116399e+02     5.4017922820e+01     53.58       513.3 
197092   183309   113703   38       1.1637116399e+02     5.4055740543e+01     53.55       518.5 
199449   185487   115070   66       1.1637116399e+02     5.4093895568e+01     53.52       523.3 
201804   187667   116431   49       1.1637116399e+02     5.4135566047e+01     53.48       527.8 
204159   189836   117732   47       1.1637116399e+02     5.4187077119e+01     53.44       533.4 
206466   191952   119003   46       1.1637116399e+02     5.4226993782e+01     53.40       539.7 
208821   194127   120318   27       1.1637116399e+02     5.4281079454e+01     53.36       546.5 
211199   196303   121644   41       1.1637116399e+02     5.4328082770e+01     53.31       550.7 
213564   198478   122917   33       1.1637116399e+02     5.4382331689e+01     53.27       554.7 
215931   200647   124234   40       1.1637116399e+02     5.4436311425e+01     53.22       559.0 
218315   202812   125524   39       1.1637116399e+02     5.4468097940e+01     53.19       565.0 
220664   204983   126817   51       1.1637116399e+02     5.4511861375e+01     53.16       572.5 
223042   207154   128119   51       1.1637116399e+02     5.4548997947e+01     53.12       577.7 
225432   209334   129431   47       1.1637116399e+02     5.4585534812e+01     53.09       582.4 
227793   211511   130742   34       1.1637116399e+02     5.4644277940e+01     53.04       587.8 
230133   213686   132038   45       1.1637116399e+02     5.4672374436e+01     53.02       593.8 
232490   215860   133393   32       1.1637116399e+02     5.4707693356e+01     52.99       601.0 
234832   218042   134743   37       1.1637116399e+02     5.4758684800e+01     52.94       606.4 
237200   220214   136051   39       1.1637116399e+02     5.4790745075e+01     52.92       611.3 
239527   222379   137350   30       1.1637116399e+02     5.4831711919e+01     52.88       615.9 
241918   224553   138647   54       1.1637116399e+02     5.4879280282e+01     52.84       621.2 
244241   226678   139906   48       1.1637116399e+02     5.4886607820e+01     52.83       627.9 
246598   228849   141211   26       1.1637116399e+02     5.4906242069e+01     52.82       633.3 
248966   231025   142519   30       1.1637116399e+02     5.4995526868e+01     52.74       637.3 
251349   233201   143788   19       1.1637116399e+02     5.5025230542e+01     52.72       641.8 
253744   235370   145081   49       1.1637116399e+02     5.5068771197e+01     52.68       646.5 
256115   237544   146424   39       1.1637116399e+02     5.5116207936e+01     52.64       652.7 
258475   239725   147758   19       1.1637116399e+02     5.5146885885e+01     52.61       659.7 
260859   241906   149034   20       1.1637116399e+02     5.5182407578e+01     52.58       665.3 
263256   244079   150299   35       1.1637116399e+02     5.5209722211e+01     52.56       669.4 
265617   246241   151564   38       1.1637116399e+02     5.5259157877e+01     52.51       673.9 
267981   248415   152834   49       1.1637116399e+02     5.5295122672e+01     52.48       678.9 
270370   250591   154137   58       1.1637116399e+02     5.5306554452e+01     52.47       685.3 
272756   252767   155411   64       1.1637116399e+02     5.5365550872e+01     52.42       692.4 
275105   254941   156668   52       1.1637116399e+02     5.5383407615e+01     52.41       698.2 
277479   257116   157918   42       1.1637116399e+02     5.5437690971e+01     52.36       702.1 
279826   259290   159231   32       1.1637116399e+02     5.5471067431e+01     52.33       707.2 
282125   261410   160502   30       1.1637116399e+02     5.5509280664e+01     52.30       712.7 
284499   263581   161748   22       1.1637116399e+02     5.5520027572e+01     52.29       720.1 
286854   265740   163025   34       1.1637116399e+02     5.5579951745e+01     52.24       726.0 
289208   267915   164287   30       1.1637116399e+02     5.5607635695e+01     52.22       730.9 
291585   270092   165576   35       1.1637116399e+02     5.5636637163e+01     52.19       734.6 
293991   272267   166854   53       1.1637116399e+02     5.5672711798e+01     52.16       739.7 
296358   274434   168137   70       1.1637116399e+02     5.5705401243e+01     52.13       745.9 
298711   276611   169430   67       1.1637116399e+02     5.5746459956e+01     52.10       752.4 
301077   278787   170726   39       1.1637116399e+02     5.5763635013e+01     52.08       757.2 
303488   280957   171979   25       1.1637116399e+02     5.5797020713e+01     52.05       761.9 
305837   283125   173316   72       1.1637116399e+02     5.5834204931e+01     52.02       765.3 
308227   285298   174638   41       1.1637116399e+02     5.5866544999e+01     51.99       770.8 
310591   287462   175910   48       1.1637116399e+02     5.5897286670e+01     51.97       777.3 
313004   289637   177179   24       1.1637116399e+02     5.5922766348e+01     51.94       782.8 
315391   291807   178496   26       1.1637116399e+02     5.5947721705e+01     51.92       787.4 
317767   293982   179798   59       1.1637116399e+02     5.5985575865e+01     51.89       791.5 
320135   296150   181090   43       1.1637116399e+02     5.6018054147e+01     51.86       796.8 
322490   298277   182335   27       1.1637116399e+02     5.6040198409e+01     51.84       802.5 
324890   300458   183685   44       1.1637116399e+02     5.6076349498e+01     51.81       808.6 
327257   302628   184962   55       1.1637116399e+02     5.6104457231e+01     51.79       813.6 
329618   304806   186251   22       1.1637116399e+02     5.6133452709e+01     51.76       817.7 
332010   306977   187519   24       1.1637116399e+02     5.6150824216e+01     51.75       822.5 
334400   309148   188759   45       1.1637116399e+02     5.6181874679e+01     51.72       828.0 
336768   311316   190039   38       1.1637116399e+02     5.6217021352e+01     51.69       834.1 
339159   313483   191358   20       1.1637116399e+02     5.6252178626e+01     51.66       840.2 
341525   315655   192690   39       1.1637116399e+02     5.6275807025e+01     51.64       845.9 
343888   317830   193977   74       1.1637116399e+02     5.6297853098e+01     51.62       850.7 
346271   320004   195232   31       1.1637116399e+02     5.6327997263e+01     51.60       855.7 
348682   322173   196505   50       1.1637116399e+02     5.6352103342e+01     51.58       860.9 
351066   324343   197781   56       1.1637116399e+02     5.6381440736e+01     51.55       867.2 
353423   326505   199060   50       1.1637116399e+02     5.6399404158e+01     51.53       872.6 
355831   328680   200332   61       1.1637116399e+02     5.6426761135e+01     51.51       876.5 
