
MOSEK Version 8.0.0.51 (Build date: 2016-12-14 12:53:47)
Copyright (c) MOSEK ApS, Denmark. WWW: mosek.com
Platform: Linux/64-X86

MOSEK warning 710: #15 (nearly) zero elements are specified in sparse col '' (16) of matrix 'A'.
MOSEK warning 710: #8 (nearly) zero elements are specified in sparse col '' (17) of matrix 'A'.
MOSEK warning 710: #9 (nearly) zero elements are specified in sparse col '' (18) of matrix 'A'.
MOSEK warning 710: #12 (nearly) zero elements are specified in sparse col '' (19) of matrix 'A'.
MOSEK warning 710: #10 (nearly) zero elements are specified in sparse col '' (21) of matrix 'A'.
MOSEK warning 710: #8 (nearly) zero elements are specified in sparse col '' (22) of matrix 'A'.
MOSEK warning 710: #6 (nearly) zero elements are specified in sparse col '' (23) of matrix 'A'.
MOSEK warning 710: #7 (nearly) zero elements are specified in sparse col '' (24) of matrix 'A'.
MOSEK warning 710: #6 (nearly) zero elements are specified in sparse col '' (25) of matrix 'A'.
MOSEK warning 710: #5 (nearly) zero elements are specified in sparse col '' (26) of matrix 'A'.
Warning number 710 is disabled.
Problem
  Name                   :                 
  Objective sense        : min             
  Type                   : CONIC (conic optimization problem)
  Constraints            : 822             
  Cones                  : 1               
  Scalar variables       : 515             
  Matrix variables       : 0               
  Integer variables      : 256             

Optimizer started.
Mixed integer optimizer started.
Threads used: 72
Presolve started.
Presolve terminated. Time = 1.25
Presolved problem: 507 variables, 309 constraints, 6902 non-zeros
Presolved problem: 0 general integer, 249 binary, 258 continuous
Clique table size: 288
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
0        1        0        0        NA                   3.4131422593e+01     NA          1.9   
Cut generation started.
0        2        0        0        NA                   3.4131422593e+01     NA          2.9   
Cut generation terminated. Time = 0.22
120303   109161   72336    33       1.1908124305e+02     5.3697950175e+01     54.91       253.9 
122691   111340   73792    41       1.1908124305e+02     5.3769842740e+01     54.85       257.8 
125086   113506   75157    36       1.1908124305e+02     5.3814739954e+01     54.81       263.0 
127402   115621   76555    49       1.1900189120e+02     5.3853167972e+01     54.75       267.8 
129818   117797   77935    34       1.1900189120e+02     5.3920290270e+01     54.69       271.2 
132244   119979   79349    47       1.1900189120e+02     5.3961789019e+01     54.65       276.1 
134645   122151   80760    49       1.1900189120e+02     5.4032374992e+01     54.60       280.8 
137013   124326   82226    34       1.1900189120e+02     5.4072279488e+01     54.56       285.1 
139415   126503   83556    36       1.1900189120e+02     5.4120463580e+01     54.52       290.1 
141806   128683   84975    44       1.1900189120e+02     5.4186658640e+01     54.47       294.9 
144216   130854   86367    39       1.1900189120e+02     5.4218939044e+01     54.44       298.8 
146615   133028   87796    29       1.1900189120e+02     5.4276785746e+01     54.39       304.0 
148982   135209   89229    19       1.1900189120e+02     5.4321084091e+01     54.35       308.7 
151402   137387   90649    27       1.1900189120e+02     5.4388353730e+01     54.30       312.4 
153803   139563   92060    33       1.1900189120e+02     5.4437991302e+01     54.25       317.6 
156207   141734   93434    40       1.1900189120e+02     5.4487623466e+01     54.21       321.9 
158623   143914   94808    30       1.1900189120e+02     5.4537955093e+01     54.17       326.1 
161048   146091   96235    37       1.1900189120e+02     5.4575960099e+01     54.14       330.6 
163459   148265   97670    31       1.1900189120e+02     5.4613611644e+01     54.11       334.3 
165829   150384   99024    52       1.1900189120e+02     5.4662003209e+01     54.07       338.7 
168217   152555   100362   61       1.1900189120e+02     5.4700127576e+01     54.03       343.4 
170635   154732   101780   49       1.1900189120e+02     5.4756175395e+01     53.99       347.4 
173063   156910   103178   43       1.1900189120e+02     5.4787991645e+01     53.96       351.6 
175458   159092   104611   31       1.1900189120e+02     5.4839046216e+01     53.92       356.7 
177857   161268   106048   25       1.1900189120e+02     5.4892243732e+01     53.87       360.5 
180285   163447   107454   46       1.1900189120e+02     5.4930183496e+01     53.84       365.6 
182703   165618   108818   43       1.1900189120e+02     5.4952707096e+01     53.82       370.2 
185128   167791   110227   45       1.1900189120e+02     5.5015917317e+01     53.77       373.7 
187587   169963   111622   48       1.1900189120e+02     5.5063913114e+01     53.73       378.5 
190011   172136   113058   19       1.1900189120e+02     5.5088421715e+01     53.71       382.8 
192433   174319   114404   42       1.1900189120e+02     5.5142916054e+01     53.66       386.5 
194875   176497   115830   62       1.1900189120e+02     5.5182701680e+01     53.63       391.1 
197292   178672   117213   72       1.1900189120e+02     5.5214705809e+01     53.60       395.2 
199712   180842   118565   46       1.1900189120e+02     5.5261448485e+01     53.56       398.8 
202114   183024   119993   59       1.1900189120e+02     5.5308434109e+01     53.52       403.6 
204542   185195   121345   38       1.1900189120e+02     5.5311875673e+01     53.52       408.0 
206991   187364   122714   27       1.1900189120e+02     5.5376832109e+01     53.47       413.5 
209351   189486   124124   24       1.1900189120e+02     5.5419918788e+01     53.43       419.3 
211770   191658   125545   35       1.1900189120e+02     5.5457469215e+01     53.40       424.4 
214161   193827   126900   82       1.1900189120e+02     5.5491569200e+01     53.37       429.6 
216609   196007   128274   26       1.1900189120e+02     5.5528106922e+01     53.34       433.3 
219012   198188   129657   31       1.1900189120e+02     5.5568007948e+01     53.30       437.6 
221458   200358   131023   47       1.1900189120e+02     5.5612582791e+01     53.27       441.6 
223903   202534   132410   63       1.1900189120e+02     5.5641386814e+01     53.24       444.9 
226301   204706   133818   23       1.1900189120e+02     5.5685781732e+01     53.21       449.4 
228682   206874   135141   33       1.1900189120e+02     5.5717105795e+01     53.18       453.6 
231067   209047   136504   67       1.1900189120e+02     5.5750349635e+01     53.15       457.2 
233504   211209   137887   40       1.1900189120e+02     5.5779534995e+01     53.13       462.6 
235976   213376   139225   54       1.1900189120e+02     5.5828380972e+01     53.09       466.1 
238406   215551   140631   53       1.1900189120e+02     5.5859297302e+01     53.06       469.9 
240868   217722   141991   111      1.1900189120e+02     5.5903308864e+01     53.02       474.5 
243290   219897   143345   33       1.1900189120e+02     5.5941548527e+01     52.99       478.0 
245721   222070   144718   25       1.1900189120e+02     5.5985051396e+01     52.95       482.3 
248140   224239   146099   30       1.1900189120e+02     5.6006888638e+01     52.94       487.0 
250599   226415   147490   52       1.1900189120e+02     5.6036321892e+01     52.91       490.5 
252929   228523   148752   40       1.1900189120e+02     5.6071543360e+01     52.88       495.7 
255379   230708   150196   19       1.1900189120e+02     5.6110544331e+01     52.85       499.3 
257826   232882   151559   36       1.1900189120e+02     5.6124886528e+01     52.84       503.6 
260251   235057   152998   48       1.1900189120e+02     5.6187186829e+01     52.78       508.3 
262673   237229   154348   43       1.1900189120e+02     5.6221572897e+01     52.76       511.4 
265072   239403   155741   34       1.1900189120e+02     5.6256002339e+01     52.73       516.1 
267478   241568   157125   53       1.1900189120e+02     5.6293167208e+01     52.70       520.4 
269911   243756   158530   36       1.1900189120e+02     5.6323809707e+01     52.67       523.8 
272332   245932   159915   62       1.1900189120e+02     5.6360799195e+01     52.64       529.0 
274749   248105   161310   19       1.1900189120e+02     5.6393737083e+01     52.61       532.9 
277161   250285   162718   16       1.1900189120e+02     5.6432754766e+01     52.58       536.9 
