
MOSEK Version 8.0.0.51 (Build date: 2016-12-14 12:53:47)
Copyright (c) MOSEK ApS, Denmark. WWW: mosek.com
Platform: Linux/64-X86

Problem
  Name                   :                 
  Objective sense        : min             
  Type                   : LO (linear optimization problem)
  Constraints            : 3118            
  Cones                  : 0               
  Scalar variables       : 653             
  Matrix variables       : 0               
  Integer variables      : 601             

Optimizer started.
Mixed integer optimizer started.
Threads used: 72
Presolve started.
Presolve terminated. Time = 0.82
Presolved problem: 652 variables, 1601 constraints, 5818 non-zeros
Presolved problem: 0 general integer, 601 binary, 51 continuous
Clique table size: 50
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
0        1        0        0        NA                   1.9521539908e+02     NA          1.5   
Cut generation started.
0        2        0        0        NA                   1.9521539908e+02     NA          1.8   
Cut generation terminated. Time = 0.25
15       18       16       3        NA                   1.9531425378e+02     NA          3.8   
31       34       32       4        NA                   1.9535612031e+02     NA          4.0   
63       66       64       5        NA                   1.9536433076e+02     NA          4.4   
127      130      128      6        NA                   1.9546819240e+02     NA          4.9   
199      202      200      7        NA                   1.9546819240e+02     NA          5.3   
343      346      344      7        NA                   1.9560543966e+02     NA          5.9   
631      634      628      10       NA                   1.9560543966e+02     NA          6.7   
1207     1208     1114     17       NA                   1.9563082973e+02     NA          8.7   
2287     2282     1676     16       NA                   1.9563082973e+02     NA          9.9   
3650     3631     2619     21       NA                   1.9585536965e+02     NA          11.4  
4945     4920     3630     28       NA                   1.9593040129e+02     NA          13.2  
6490     6451     4541     15       NA                   1.9598152310e+02     NA          15.0  
7870     7821     5529     24       NA                   1.9599739623e+02     NA          16.5  
9384     9316     6455     43       NA                   1.9599759457e+02     NA          18.0  
10891    10812    7426     16       NA                   1.9601612924e+02     NA          19.5  
12458    12358    8365     53       NA                   1.9604411803e+02     NA          21.5  
13974    13856    9351     59       NA                   1.9604411803e+02     NA          23.5  
15558    15430    10299    66       NA                   1.9606086385e+02     NA          25.6  
17124    16979    11275    63       NA                   1.9606109537e+02     NA          27.5  
18720    18559    12209    27       NA                   1.9607341552e+02     NA          29.3  
20340    20156    13117    44       NA                   1.9608389677e+02     NA          31.1  
21947    21749    14044    41       NA                   1.9610209342e+02     NA          33.1  
23562    23350    14975    53       NA                   1.9610217197e+02     NA          34.8  
25178    24946    15909    24       NA                   1.9610222578e+02     NA          36.9  
26870    26607    16851    22       NA                   1.9610232169e+02     NA          38.5  
28442    28166    17829    73       NA                   1.9610258784e+02     NA          40.1  
30041    29750    18752    62       NA                   1.9610796650e+02     NA          41.7  
31582    31271    19617    49       NA                   1.9610799061e+02     NA          43.7  
33194    32862    20543    71       NA                   1.9610799829e+02     NA          45.8  
34828    34476    21407    63       NA                   1.9610800551e+02     NA          47.4  
36391    36026    22372    40       NA                   1.9610809440e+02     NA          48.8  
38014    37640    23285    31       NA                   1.9614957930e+02     NA          50.0  
39601    39208    24270    51       NA                   1.9614973620e+02     NA          51.3  
41196    40789    25225    17       NA                   1.9616226644e+02     NA          52.8  
42808    42389    26125    17       NA                   1.9616226903e+02     NA          54.1  
44400    43961    27059    48       NA                   1.9616230789e+02     NA          55.3  
46023    45561    27998    73       NA                   1.9616232310e+02     NA          56.7  
47677    47184    28912    48       NA                   1.9616234673e+02     NA          57.8  
49244    48734    29833    56       NA                   1.9617735590e+02     NA          59.3  
50841    50314    30796    56       NA                   1.9617748551e+02     NA          60.6  
52474    51930    31785    19       NA                   1.9617752266e+02     NA          62.1  
54089    53534    32710    61       NA                   1.9617756960e+02     NA          64.1  
55731    55168    33630    36       NA                   1.9618349965e+02     NA          66.3  
57375    56784    34582    52       NA                   1.9618647836e+02     NA          67.9  
58919    58308    35424    33       NA                   1.9618649335e+02     NA          69.9  
60571    59946    36348    53       NA                   1.9618651091e+02     NA          71.7  
62201    61560    37206    70       NA                   1.9618816468e+02     NA          73.3  
63830    63170    38103    25       NA                   1.9618819126e+02     NA          75.1  
65412    64737    39125    39       NA                   1.9618822129e+02     NA          77.0  
67112    66426    40067    46       NA                   1.9619497931e+02     NA          79.5  
68699    68006    41032    35       NA                   1.9620389597e+02     NA          81.2  
70371    69660    41944    28       NA                   1.9620493410e+02     NA          82.8  
71965    71239    42916    16       NA                   1.9620495193e+02     NA          84.4  
73558    72827    43877    33       NA                   1.9620495550e+02     NA          86.0  
75141    74399    44836    53       NA                   1.9620496846e+02     NA          87.5  
76783    76034    45826    53       NA                   1.9620499676e+02     NA          89.0  
78445    77680    46784    35       NA                   1.9620509317e+02     NA          90.5  
80044    79266    47779    19       NA                   1.9621723104e+02     NA          92.1  
81660    80872    48805    33       NA                   1.9621723104e+02     NA          93.5  
83316    82516    49743    42       NA                   1.9621723104e+02     NA          94.9  
84964    84145    50755    31       NA                   1.9621872146e+02     NA          96.2  
86580    85731    51723    23       NA                   1.9621872808e+02     NA          97.5  
88176    87305    52585    48       NA                   1.9621873089e+02     NA          98.7  
89785    88900    53584    35       NA                   1.9621875018e+02     NA          100.2 
91432    90538    54535    16       NA                   1.9621876927e+02     NA          101.5 
93074    92161    55495    74       NA                   1.9621878159e+02     NA          102.7 
94642    93719    56467    39       NA                   1.9621880103e+02     NA          103.8 
96318    95378    57383    50       NA                   1.9622593044e+02     NA          105.0 
97953    97005    58362    52       NA                   1.9622596333e+02     NA          106.2 
99652    98689    59307    40       NA                   1.9622609963e+02     NA          107.3 
101332   100355   60287    30       NA                   1.9623247404e+02     NA          108.5 
102994   102010   61219    25       NA                   1.9623278916e+02     NA          109.5 
104658   103654   62153    39       NA                   1.9623290789e+02     NA          110.4 
106292   105281   63121    21       NA                   1.9623582213e+02     NA          111.5 
107989   106969   64020    36       NA                   1.9623586527e+02     NA          112.4 
109625   108595   64970    44       NA                   1.9623588784e+02     NA          114.2 
111352   110311   65919    64       NA                   1.9623612304e+02     NA          115.5 
112906   111844   66819    34       NA                   1.9623628511e+02     NA          117.2 
114559   113481   67774    61       NA                   1.9624151419e+02     NA          118.6 
116232   115142   68717    63       NA                   1.9624327599e+02     NA          119.9 
117912   116804   69663    56       NA                   1.9624353341e+02     NA          121.1 
119588   118460   70569    35       NA                   1.9624366271e+02     NA          122.5 
