
MOSEK Version 8.0.0.51 (Build date: 2016-12-14 12:53:47)
Copyright (c) MOSEK ApS, Denmark. WWW: mosek.com
Platform: Linux/64-X86

MOSEK warning 710: #15 (nearly) zero elements are specified in sparse col '' (16) of matrix 'A'.
MOSEK warning 710: #5 (nearly) zero elements are specified in sparse col '' (17) of matrix 'A'.
MOSEK warning 710: #13 (nearly) zero elements are specified in sparse col '' (18) of matrix 'A'.
MOSEK warning 710: #12 (nearly) zero elements are specified in sparse col '' (19) of matrix 'A'.
MOSEK warning 710: #11 (nearly) zero elements are specified in sparse col '' (20) of matrix 'A'.
MOSEK warning 710: #10 (nearly) zero elements are specified in sparse col '' (21) of matrix 'A'.
MOSEK warning 710: #3 (nearly) zero elements are specified in sparse col '' (22) of matrix 'A'.
MOSEK warning 710: #8 (nearly) zero elements are specified in sparse col '' (23) of matrix 'A'.
MOSEK warning 710: #4 (nearly) zero elements are specified in sparse col '' (25) of matrix 'A'.
MOSEK warning 710: #5 (nearly) zero elements are specified in sparse col '' (26) of matrix 'A'.
Warning number 710 is disabled.
Problem
  Name                   :                 
  Objective sense        : min             
  Type                   : CONIC (conic optimization problem)
  Constraints            : 822             
  Cones                  : 1               
  Scalar variables       : 515             
  Matrix variables       : 0               
  Integer variables      : 256             

Optimizer started.
Mixed integer optimizer started.
Threads used: 72
Presolve started.
Presolve terminated. Time = 0.97
Presolved problem: 507 variables, 309 constraints, 6902 non-zeros
Presolved problem: 0 general integer, 249 binary, 258 continuous
Clique table size: 285
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
0        1        0        0        NA                   3.3739191591e+01     NA          1.4   
Cut generation started.
0        2        0        0        NA                   3.3739191591e+01     NA          1.8   
Cut generation terminated. Time = 0.14
15       18       14       3        NA                   3.4059416033e+01     NA          3.4   
28       31       23       4        NA                   3.4258714148e+01     NA          3.8   
48       52       37       5        NA                   3.4575565021e+01     NA          4.4   
78       82       65       6        NA                   3.5136697900e+01     NA          5.2   
134      138      115      7        NA                   3.5166974920e+01     NA          6.4   
197      201      168      7        NA                   3.5166974920e+01     NA          7.4   
329      333      292      8        NA                   3.6547065561e+01     NA          8.4   
617      620      558      12       NA                   3.6643949807e+01     NA          9.9   
1121     1118     904      17       NA                   3.8592363449e+01     NA          11.8  
1985     1890     1144     17       1.1730504960e+02     3.8592363449e+01     67.10       13.9  
3065     2906     1692     10       1.1730504960e+02     3.8640975053e+01     67.06       16.8  
4721     4496     2832     28       1.1730504960e+02     3.8666155065e+01     67.04       21.1  
7015     6660     4322     36       1.1730504960e+02     3.8834549593e+01     66.89       26.2  
9263     8825     5788     34       1.1730504960e+02     3.9548479433e+01     66.29       30.3  
11536    10988    7265     40       1.1730504960e+02     4.0797895993e+01     65.22       34.4  
13789    13144    8576     51       1.1730504960e+02     4.1218732696e+01     64.86       39.0  
16062    15320    9855     79       1.1730504960e+02     4.3427812905e+01     62.98       43.0  
18363    17497    11260    46       1.1730504960e+02     4.5246902376e+01     61.43       47.1  
20705    19666    12582    33       1.1730504960e+02     4.6876179625e+01     60.04       50.5  
23002    21833    13907    35       1.1730504960e+02     4.7456931087e+01     59.54       54.4  
25292    24003    15231    15       1.1730504960e+02     4.8115553987e+01     58.98       58.3  
27578    26176    16581    30       1.1730504960e+02     4.8689503493e+01     58.49       62.0  
29874    28358    17931    44       1.1730504960e+02     4.8985144474e+01     58.24       66.0  
32279    30548    19346    28       1.1730504960e+02     4.9334399056e+01     57.94       70.0  
34623    32744    20786    24       1.1730504960e+02     4.9534764351e+01     57.77       73.4  
36935    34925    22082    19       1.1724292210e+02     4.9721182085e+01     57.59       77.5  
39278    37117    23507    21       1.1706164388e+02     5.0083975379e+01     57.22       81.2  
41604    39311    24895    42       1.1706164388e+02     5.0343430577e+01     56.99       84.9  
43942    41500    26279    36       1.1706164388e+02     5.0549131142e+01     56.82       88.7  
46241    43630    27618    34       1.1706164388e+02     5.0780251808e+01     56.62       92.4  
48580    45823    29025    41       1.1706164388e+02     5.0935693013e+01     56.49       95.7  
50932    48018    30415    49       1.1706164388e+02     5.1176023051e+01     56.28       99.5  
53280    50207    31811    45       1.1706164388e+02     5.1235828740e+01     56.23       103.3 
55632    52399    33183    25       1.1705035559e+02     5.1474264663e+01     56.02       106.9 
57980    54585    34533    29       1.1705035559e+02     5.1592890652e+01     55.92       110.5 
60324    56786    35923    51       1.1705035559e+02     5.1746674194e+01     55.79       114.6 
62671    58978    37322    17       1.1705035559e+02     5.1897474620e+01     55.66       118.5 
65037    61173    38672    29       1.1705035559e+02     5.1968945581e+01     55.60       122.9 
67396    63364    40109    47       1.1705035559e+02     5.2078337339e+01     55.51       126.6 
69753    65561    41494    30       1.1705035559e+02     5.2224479995e+01     55.38       130.9 
72124    67751    42867    53       1.1705035559e+02     5.2339944152e+01     55.28       134.4 
74470    69937    44209    50       1.1705035559e+02     5.2431908038e+01     55.21       138.1 
76810    72121    45531    33       1.1705035559e+02     5.2560484742e+01     55.10       142.0 
79160    74320    46889    52       1.1705035559e+02     5.2634167151e+01     55.03       145.4 
81511    76521    48320    28       1.1705035559e+02     5.2775275534e+01     54.91       149.1 
