
MOSEK Version 8.0.0.51 (Build date: 2016-12-14 12:53:47)
Copyright (c) MOSEK ApS, Denmark. WWW: mosek.com
Platform: Linux/64-X86

Problem
  Name                   :                 
  Objective sense        : min             
  Type                   : LO (linear optimization problem)
  Constraints            : 3118            
  Cones                  : 0               
  Scalar variables       : 653             
  Matrix variables       : 0               
  Integer variables      : 601             

Optimizer started.
Mixed integer optimizer started.
Threads used: 72
Presolve started.
Presolve terminated. Time = 0.06
Presolved problem: 652 variables, 1601 constraints, 5818 non-zeros
Presolved problem: 0 general integer, 601 binary, 51 continuous
Clique table size: 50
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
0        1        0        0        NA                   2.1989192764e+02     NA          0.2   
Cut generation started.
0        2        0        0        NA                   2.1989192764e+02     NA          0.3   
0        3        0        0        NA                   2.2017931262e+02     NA          0.3   
Cut generation terminated. Time = 0.04
15       19       16       3        NA                   2.2019326838e+02     NA          0.6   
31       35       30       4        NA                   2.2019378243e+02     NA          0.6   
60       64       59       5        NA                   2.2023501247e+02     NA          0.6   
118      122      115      6        NA                   2.2023794453e+02     NA          0.7   
188      192      185      7        NA                   2.2023794453e+02     NA          0.8   
332      336      325      7        NA                   2.2023862468e+02     NA          0.9   
620      624      581      11       NA                   2.2024454723e+02     NA          1.0   
1196     1195     1033     18       NA                   2.2027206825e+02     NA          1.3   
2204     2192     1589     12       NA                   2.2027206825e+02     NA          1.5   
3601     3560     2396     13       NA                   2.2029298857e+02     NA          1.8   
4912     4868     3435     32       NA                   2.2029298857e+02     NA          2.1   
6461     6401     4332     24       NA                   2.2033593902e+02     NA          2.4   
7927     7862     5292     48       NA                   2.2035689274e+02     NA          2.7   
9438     9368     6291     37       NA                   2.2041903799e+02     NA          3.0   
10951    10863    7238     44       NA                   2.2043039237e+02     NA          3.2   
12443    12340    8208     12       NA                   2.2043623647e+02     NA          3.6   
13978    13859    9131     14       NA                   2.2044311939e+02     NA          3.9   
15490    15365    10099    20       NA                   2.2047358459e+02     NA          4.2   
16973    16838    11020    45       NA                   2.2047777729e+02     NA          4.5   
18520    18366    11919    32       NA                   2.2049290360e+02     NA          4.9   
20021    19854    12856    52       NA                   2.2049290360e+02     NA          5.2   
21582    21394    13803    12       NA                   2.2050795318e+02     NA          5.6   
23170    22972    14805    32       NA                   2.2051387740e+02     NA          5.9   
24727    24515    15756    11       NA                   2.2051983432e+02     NA          6.2   
26267    26043    16672    34       NA                   2.2052598053e+02     NA          6.6   
27828    27582    17649    12       NA                   2.2052894139e+02     NA          6.8   
29406    29142    18559    30       NA                   2.2053357523e+02     NA          7.2   
30856    30584    19479    32       NA                   2.2053551046e+02     NA          7.5   
32426    32143    20433    27       NA                   2.2054246233e+02     NA          7.9   
33979    33692    21354    49       NA                   2.2054759321e+02     NA          8.3   
35532    35239    22255    65       NA                   2.2054976720e+02     NA          8.6   
37117    36811    23198    31       NA                   2.2055375169e+02     NA          8.9   
38636    38320    24159    50       NA                   2.2055696278e+02     NA          9.2   
40191    39867    25060    53       NA                   2.2056089310e+02     NA          9.6   
41768    41426    26005    44       NA                   2.2056211520e+02     NA          10.0  
43357    43010    26942    24       NA                   2.2056627032e+02     NA          10.3  
44978    44617    27845    55       NA                   2.2056974863e+02     NA          10.6  
46580    46206    28747    24       NA                   2.2057302091e+02     NA          10.9  
48187    47802    29722    32       NA                   2.2057591897e+02     NA          11.3  
49759    49355    30646    59       NA                   2.2057595368e+02     NA          11.6  
51303    50889    31582    52       NA                   2.2058068802e+02     NA          11.9  
52908    52472    32517    56       NA                   2.2058369260e+02     NA          12.3  
54496    54044    33485    57       NA                   2.2058736734e+02     NA          12.6  
55996    55531    34351    32       NA                   2.2058862003e+02     NA          12.9  
57603    57123    35262    43       NA                   2.2059378871e+02     NA          13.3  
59240    58741    36243    40       NA                   2.2059449608e+02     NA          13.6  
60831    60325    37192    36       NA                   2.2059631741e+02     NA          13.9  
62460    61935    38135    56       NA                   2.2059758290e+02     NA          14.2  
64070    63528    39075    65       NA                   2.2059984737e+02     NA          14.6  
65698    65134    39999    14       NA                   2.2060381841e+02     NA          14.9  
67339    66761    40916    55       NA                   2.2060637517e+02     NA          15.2  
68942    68350    41829    24       NA                   2.2060687198e+02     NA          15.6  
70569    69967    42722    28       NA                   2.2061075085e+02     NA          15.9  
72143    71530    43700    45       NA                   2.2061254694e+02     NA          16.2  
73749    73120    44610    26       NA                   2.2061446206e+02     NA          16.6  
75344    74691    45531    16       NA                   2.2061659294e+02     NA          17.0  
76899    76233    46452    32       NA                   2.2061659456e+02     NA          17.3  
78512    77833    47327    29       NA                   2.2061659456e+02     NA          17.6  
80092    79395    48223    28       NA                   2.2061665490e+02     NA          17.9  
