
MOSEK Version 8.0.0.51 (Build date: 2016-12-14 12:53:47)
Copyright (c) MOSEK ApS, Denmark. WWW: mosek.com
Platform: Linux/64-X86

Problem
  Name                   :                 
  Objective sense        : min             
  Type                   : LO (linear optimization problem)
  Constraints            : 3118            
  Cones                  : 0               
  Scalar variables       : 653             
  Matrix variables       : 0               
  Integer variables      : 601             

Optimizer started.
Mixed integer optimizer started.
Threads used: 72
Presolve started.
Presolve terminated. Time = 0.13
Presolved problem: 652 variables, 1601 constraints, 5818 non-zeros
Presolved problem: 0 general integer, 601 binary, 51 continuous
Clique table size: 50
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
0        1        0        0        NA                   2.1623106220e+02     NA          0.3   
Cut generation started.
0        2        0        0        NA                   2.1623106220e+02     NA          0.3   
Cut generation terminated. Time = 0.03
15       18       16       3        NA                   2.1629125834e+02     NA          0.7   
31       34       32       4        NA                   2.1629436568e+02     NA          0.8   
63       66       62       5        NA                   2.1629554504e+02     NA          0.9   
124      127      123      6        NA                   2.1636704857e+02     NA          1.0   
195      198      184      7        NA                   2.1636704857e+02     NA          1.1   
339      341      294      7        NA                   2.1645696780e+02     NA          1.4   
627      625      560      10       NA                   2.1646369393e+02     NA          1.7   
1131     1126     970      15       NA                   2.1647083586e+02     NA          2.0   
2067     2060     1472     26       NA                   2.1647083586e+02     NA          2.7   
3452     3422     2131     14       NA                   2.1647502176e+02     NA          3.1   
4619     4586     3122     11       NA                   2.1665475654e+02     NA          3.5   
5966     5924     4025     18       NA                   2.1669194337e+02     NA          3.9   
7446     7391     4863     32       NA                   2.1673420304e+02     NA          4.4   
8804     8735     5729     16       NA                   2.1673783051e+02     NA          4.8   
10115    10034    6648     11       NA                   2.1673843560e+02     NA          5.4   
11530    11426    7515     25       NA                   2.1678619966e+02     NA          5.9   
12945    12826    8442     14       NA                   2.1679812962e+02     NA          6.4   
14245    14114    9346     31       NA                   2.1681350843e+02     NA          6.9   
15551    15418    10192    25       NA                   2.1681932394e+02     NA          7.4   
16895    16751    11086    40       NA                   2.1681932394e+02     NA          7.9   
18285    18128    11956    22       NA                   2.1683972362e+02     NA          8.4   
19514    19348    12841    28       NA                   2.1686736421e+02     NA          8.9   
20821    20645    13700    37       NA                   2.1686859518e+02     NA          9.4   
22187    21993    14542    16       NA                   2.1687555338e+02     NA          10.0  
23459    23253    15422    21       NA                   2.1687648369e+02     NA          10.5  
24613    24400    16260    20       NA                   2.1688965569e+02     NA          11.1  
25954    25724    17109    55       NA                   2.1689620460e+02     NA          11.6  
27260    27022    17939    69       NA                   2.1690259186e+02     NA          12.1  
28530    28287    18797    32       NA                   2.1690477071e+02     NA          12.6  
29834    29582    19683    45       NA                   2.1690542950e+02     NA          13.1  
31171    30905    20548    30       NA                   2.1691484295e+02     NA          13.6  
32511    32235    21448    31       NA                   2.1691553720e+02     NA          14.1  
33846    33558    22311    35       NA                   2.1691677595e+02     NA          14.6  
35223    34920    23178    54       NA                   2.1692075959e+02     NA          15.1  
36589    36270    24052    33       NA                   2.1692777128e+02     NA          15.6  
37874    37547    24955    35       NA                   2.1693086238e+02     NA          16.1  
39251    38906    25834    42       NA                   2.1693133528e+02     NA          16.5  
40654    40294    26687    19       NA                   2.1693705110e+02     NA          17.0  
41933    41566    27542    36       NA                   2.1693903046e+02     NA          17.5  
43268    42892    28369    53       NA                   2.1694166482e+02     NA          17.9  
44639    44255    29212    24       NA                   2.1694373826e+02     NA          18.5  
45944    45554    30075    31       NA                   2.1694805276e+02     NA          19.1  
47242    46848    30943    44       NA                   2.1695161431e+02     NA          19.6  
48600    48191    31789    33       NA                   2.1695400675e+02     NA          20.2  
49821    49405    32602    24       NA                   2.1695400675e+02     NA          20.7  
51133    50705    33468    26       NA                   2.1695795376e+02     NA          21.2  
52541    52104    34276    27       NA                   2.1695960653e+02     NA          21.7  
53924    53474    35105    21       NA                   2.1695988019e+02     NA          22.2  
55190    54728    35969    23       NA                   2.1696379772e+02     NA          22.6  
56595    56128    36804    26       NA                   2.1696505789e+02     NA          23.1  
57976    57497    37615    13       NA                   2.1696505789e+02     NA          23.6  
59284    58799    38493    23       NA                   2.1696982356e+02     NA          24.1  
60610    60121    39349    33       NA                   2.1697222389e+02     NA          24.6  
62017    61518    40142    24       NA                   2.1697354913e+02     NA          25.1  
63408    62900    40993    14       NA                   2.1697354913e+02     NA          25.6  
64770    64247    41871    31       NA                   2.1697739078e+02     NA          26.2  
66161    65620    42732    20       NA                   2.1697960020e+02     NA          26.8  
67532    66979    43607    21       NA                   2.1698147014e+02     NA          27.5  
68904    68340    44475    29       NA                   2.1698264882e+02     NA          27.9  
70301    69726    45346    34       NA                   2.1698478612e+02     NA          28.6  
71615    71035    46248    24       NA                   2.1698511761e+02     NA          29.1  
72952    72361    47001    21       NA                   2.1698624144e+02     NA          29.5  
