
MOSEK Version 8.0.0.51 (Build date: 2016-12-14 12:53:47)
Copyright (c) MOSEK ApS, Denmark. WWW: mosek.com
Platform: Linux/64-X86

MOSEK warning 710: #6 (nearly) zero elements are specified in sparse col '' (16) of matrix 'A'.
MOSEK warning 710: #11 (nearly) zero elements are specified in sparse col '' (17) of matrix 'A'.
MOSEK warning 710: #13 (nearly) zero elements are specified in sparse col '' (18) of matrix 'A'.
MOSEK warning 710: #11 (nearly) zero elements are specified in sparse col '' (20) of matrix 'A'.
MOSEK warning 710: #8 (nearly) zero elements are specified in sparse col '' (21) of matrix 'A'.
MOSEK warning 710: #9 (nearly) zero elements are specified in sparse col '' (22) of matrix 'A'.
MOSEK warning 710: #8 (nearly) zero elements are specified in sparse col '' (23) of matrix 'A'.
MOSEK warning 710: #7 (nearly) zero elements are specified in sparse col '' (24) of matrix 'A'.
MOSEK warning 710: #6 (nearly) zero elements are specified in sparse col '' (25) of matrix 'A'.
MOSEK warning 710: #5 (nearly) zero elements are specified in sparse col '' (26) of matrix 'A'.
Warning number 710 is disabled.
Problem
  Name                   :                 
  Objective sense        : min             
  Type                   : CONIC (conic optimization problem)
  Constraints            : 822             
  Cones                  : 1               
  Scalar variables       : 515             
  Matrix variables       : 0               
  Integer variables      : 256             

Optimizer started.
Mixed integer optimizer started.
Threads used: 72
Presolve started.
Presolve terminated. Time = 3.15
Presolved problem: 507 variables, 309 constraints, 6902 non-zeros
Presolved problem: 0 general integer, 249 binary, 258 continuous
Clique table size: 308
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
0        1        0        0        NA                   3.7248949968e+01     NA          4.0   
Cut generation started.
0        2        0        0        NA                   3.7248950244e+01     NA          5.0   
Cut generation terminated. Time = 0.20
15       18       16       3        NA                   3.7558459103e+01     NA          6.0   
31       34       30       4        NA                   3.7782886841e+01     NA          6.6   
60       64       59       5        NA                   3.8200439948e+01     NA          7.9   
118      122      113      6        NA                   3.9004790949e+01     NA          10.1  
187      191      180      7        NA                   3.9004790949e+01     NA          11.4  
327      332      314      7        NA                   4.1139720629e+01     NA          12.4  
615      623      598      11       NA                   4.1158130315e+01     NA          14.2  
1191     1177     962      11       NA                   4.1945748292e+01     NA          17.0  
2127     2047     1250     19       1.3719416609e+02     4.1958207431e+01     69.42       20.6  
3351     3230     1924     32       1.3628759886e+02     4.2042005396e+01     69.15       25.0  
5223     5023     2924     27       1.3628759886e+02     4.2247944034e+01     69.00       30.2  
7476     7168     4361     25       1.3628759886e+02     4.2757437992e+01     68.63       38.2  
9887     9319     5814     38       1.3536448379e+02     4.2770261203e+01     68.40       44.3  
12245    11479    7248     55       1.3536448379e+02     4.4358977777e+01     67.23       51.7  
14562    13645    8767     39       1.3536448379e+02     4.4613580476e+01     67.04       57.4  
16902    15825    10317    45       1.3536448379e+02     4.6481906707e+01     65.66       65.0  
19233    17997    11678    36       1.3536448379e+02     4.6954517611e+01     65.31       70.3  
21597    20170    12922    33       1.3536448379e+02     5.0296756240e+01     62.84       77.8  
23980    22346    14365    56       1.3536448379e+02     5.2506021100e+01     61.21       83.9  
26369    24531    15770    28       1.3536448379e+02     5.3612316500e+01     60.39       89.5  
28740    26715    17137    38       1.3536448379e+02     5.4268841055e+01     59.91       97.6  
31131    28907    18588    41       1.3536448379e+02     5.4626814917e+01     59.64       103.1 
33497    31095    20010    52       1.3531243100e+02     5.4917153413e+01     59.41       110.6 
35922    33294    21487    20       1.3531243100e+02     5.5452913090e+01     59.02       116.2 
38282    35484    22955    34       1.3531243100e+02     5.5742988784e+01     58.80       123.1 
40689    37671    24354    42       1.3531243100e+02     5.6033402272e+01     58.59       128.9 
43090    39847    25717    51       1.3531243100e+02     5.6228628459e+01     58.45       134.9 
45495    42035    27096    25       1.3531243100e+02     5.6336282850e+01     58.37       141.5 
47898    44228    28523    30       1.3531243100e+02     5.6642358327e+01     58.14       147.9 
50238    46370    29937    56       1.3531243100e+02     5.6917227447e+01     57.94       154.7 
52631    48555    31356    14       1.3531243100e+02     5.7148288313e+01     57.77       160.2 
55032    50748    32771    33       1.3531243100e+02     5.7310434540e+01     57.65       166.7 
57420    52943    34213    36       1.3512022991e+02     5.7483493159e+01     57.46       172.9 
59808    55136    35615    34       1.3512022991e+02     5.7552817961e+01     57.41       179.3 
62194    57319    36957    63       1.3512022991e+02     5.7796035734e+01     57.23       184.5 
64586    59519    38433    29       1.3512022991e+02     5.7904285251e+01     57.15       190.2 
67036    61713    39807    28       1.3512022991e+02     5.8068737251e+01     57.02       197.2 
69457    63908    41202    51       1.3512022991e+02     5.8120209144e+01     56.99       202.2 
71857    66089    42508    36       1.3512022991e+02     5.8263472074e+01     56.88       208.5 
74248    68285    43927    44       1.3512022991e+02     5.8437858174e+01     56.75       214.2 
76657    70473    45334    29       1.3512022991e+02     5.8545550285e+01     56.67       219.3 
