
MOSEK Version 8.0.0.51 (Build date: 2016-12-14 12:53:47)
Copyright (c) MOSEK ApS, Denmark. WWW: mosek.com
Platform: Linux/64-X86

Problem
  Name                   :                 
  Objective sense        : min             
  Type                   : LO (linear optimization problem)
  Constraints            : 2200            
  Cones                  : 0               
  Scalar variables       : 465             
  Matrix variables       : 0               
  Integer variables      : 421             

Optimizer started.
Mixed integer optimizer started.
Threads used: 72
Presolve started.
Presolve terminated. Time = 0.03
Presolved problem: 464 variables, 1135 constraints, 4090 non-zeros
Presolved problem: 0 general integer, 421 binary, 43 continuous
Clique table size: 42
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
0        1        0        0        NA                   1.5304659878e+02     NA          0.2   
Cut generation started.
0        2        0        0        NA                   1.5304659878e+02     NA          0.2   
Cut generation terminated. Time = 0.02
15       18       16       3        NA                   1.5325137965e+02     NA          0.3   
31       34       30       4        NA                   1.5326398651e+02     NA          0.3   
60       63       59       5        NA                   1.5329328195e+02     NA          0.4   
118      121      99       6        NA                   1.5335056003e+02     NA          0.5   
180      183      145      7        NA                   1.5335056003e+02     NA          0.5   
288      291      241      8        NA                   1.5339966709e+02     NA          0.6   
504      507      433      10       NA                   1.5345801389e+02     NA          0.7   
936      936      791      15       NA                   1.5345801389e+02     NA          0.9   
1656     1654     1199     11       NA                   1.5345801389e+02     NA          1.0   
2808     2777     1651     12       NA                   1.5352434793e+02     NA          1.2   
4271     4229     2748     15       NA                   1.5363820285e+02     NA          1.4   
5946     5879     3739     30       NA                   1.5369632921e+02     NA          1.6   
7631     7538     4748     17       NA                   1.5369930234e+02     NA          1.9   
9259     9141     5810     31       NA                   1.5378649973e+02     NA          2.1   
10985    10836    6780     32       NA                   1.5379155557e+02     NA          2.3   
12645    12474    7886     28       NA                   1.5381889119e+02     NA          2.6   
14376    14192    8879     23       NA                   1.5385364196e+02     NA          2.8   
16033    15838    9900     41       NA                   1.5386471065e+02     NA          3.1   
17736    17518    10875    18       NA                   1.5386833670e+02     NA          3.3   
19453    19223    11918    40       NA                   1.5388038070e+02     NA          3.5   
