
MOSEK Version 8.0.0.51 (Build date: 2016-12-14 12:53:47)
Copyright (c) MOSEK ApS, Denmark. WWW: mosek.com
Platform: Linux/64-X86

Problem
  Name                   :                 
  Objective sense        : min             
  Type                   : LO (linear optimization problem)
  Constraints            : 2200            
  Cones                  : 0               
  Scalar variables       : 465             
  Matrix variables       : 0               
  Integer variables      : 421             

Optimizer started.
Mixed integer optimizer started.
Threads used: 72
Presolve started.
Presolve terminated. Time = 0.06
Presolved problem: 464 variables, 1135 constraints, 4090 non-zeros
Presolved problem: 0 general integer, 421 binary, 43 continuous
Clique table size: 42
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
0        1        0        0        NA                   1.5128709329e+02     NA          0.2   
Cut generation started.
0        2        0        0        NA                   1.5128709329e+02     NA          0.3   
0        3        0        0        NA                   1.5146680930e+02     NA          0.3   
Cut generation terminated. Time = 0.11
15       19       16       3        NA                   1.5155567891e+02     NA          0.7   
31       35       30       4        NA                   1.5156622995e+02     NA          0.8   
60       64       57       5        NA                   1.5156867518e+02     NA          1.0   
115      119      104      6        NA                   1.5160412832e+02     NA          1.2   
181      185      170      7        NA                   1.5160412832e+02     NA          1.4   
317      321      302      7        NA                   1.5161920517e+02     NA          1.8   
605      609      588      10       NA                   1.5166141021e+02     NA          2.2   
1181     1184     1056     16       NA                   1.5166141021e+02     NA          2.8   
2189     2175     1464     25       NA                   1.5174784243e+02     NA          3.4   
3551     3525     2448     12       NA                   1.5201780709e+02     NA          4.1   
5142     5107     3455     24       NA                   1.5204211930e+02     NA          4.8   
6747     6692     4432     23       NA                   1.5209294945e+02     NA          5.6   
8364     8300     5391     35       NA                   1.5211548969e+02     NA          6.3   
10025    9945     6332     27       NA                   1.5216752418e+02     NA          6.9   
11716    11614    7337     40       NA                   1.5220633245e+02     NA          7.6   
13412    13289    8273     38       NA                   1.5221017516e+02     NA          8.3   
15110    14971    9291     26       NA                   1.5225391014e+02     NA          9.0   
16839    16689    10222    30       NA                   1.5226440887e+02     NA          9.7   
18572    18405    11169    34       NA                   1.5227157514e+02     NA          10.3  
20263    20076    12124    35       NA                   1.5228222977e+02     NA          10.8  
21980    21771    13099    34       NA                   1.5228805553e+02     NA          11.3  
23684    23455    14081    19       NA                   1.5228909969e+02     NA          11.9  
25282    25033    15021    35       NA                   1.5230225204e+02     NA          12.5  
27021    26759    15976    20       NA                   1.5231340371e+02     NA          13.1  
28768    28493    16973    23       NA                   1.5232116191e+02     NA          13.8  
30508    30206    17987    17       NA                   1.5232267354e+02     NA          14.6  
32238    31918    19007    25       NA                   1.5233343849e+02     NA          15.3  
33971    33640    20000    19       NA                   1.5233606780e+02     NA          16.0  
35726    35369    20951    48       NA                   1.5234377261e+02     NA          16.7  
37465    37097    21926    28       NA                   1.5234872451e+02     NA          17.4  
39216    38827    22865    31       NA                   1.5235280038e+02     NA          18.0  
40954    40551    23857    21       NA                   1.5235800337e+02     NA          18.7  
42742    42319    24801    18       NA                   1.5236033589e+02     NA          19.4  
44520    44071    25757    31       NA                   1.5236232440e+02     NA          20.0  
46283    45821    26766    24       NA                   1.5236804338e+02     NA          20.7  
48038    47561    27783    44       NA                   1.5237045891e+02     NA          21.3  
49762    49266    28727    21       NA                   1.5237623139e+02     NA          22.0  
51521    51004    29728    43       NA                   1.5237918237e+02     NA          22.6  
