
MOSEK Version 8.0.0.51 (Build date: 2016-12-14 12:53:47)
Copyright (c) MOSEK ApS, Denmark. WWW: mosek.com
Platform: Linux/64-X86

MOSEK warning 710: #14 (nearly) zero elements are specified in sparse col '' (16) of matrix 'A'.
MOSEK warning 710: #6 (nearly) zero elements are specified in sparse col '' (17) of matrix 'A'.
MOSEK warning 710: #7 (nearly) zero elements are specified in sparse col '' (18) of matrix 'A'.
MOSEK warning 710: #2 (nearly) zero elements are specified in sparse col '' (19) of matrix 'A'.
MOSEK warning 710: #11 (nearly) zero elements are specified in sparse col '' (20) of matrix 'A'.
MOSEK warning 710: #10 (nearly) zero elements are specified in sparse col '' (21) of matrix 'A'.
MOSEK warning 710: #9 (nearly) zero elements are specified in sparse col '' (22) of matrix 'A'.
MOSEK warning 710: #8 (nearly) zero elements are specified in sparse col '' (23) of matrix 'A'.
MOSEK warning 710: #2 (nearly) zero elements are specified in sparse col '' (24) of matrix 'A'.
MOSEK warning 710: #6 (nearly) zero elements are specified in sparse col '' (25) of matrix 'A'.
Warning number 710 is disabled.
Problem
  Name                   :                 
  Objective sense        : min             
  Type                   : CONIC (conic optimization problem)
  Constraints            : 822             
  Cones                  : 1               
  Scalar variables       : 515             
  Matrix variables       : 0               
  Integer variables      : 256             

Optimizer started.
Mixed integer optimizer started.
Threads used: 72
Presolve started.
Presolve terminated. Time = 2.65
Presolved problem: 507 variables, 309 constraints, 6902 non-zeros
Presolved problem: 0 general integer, 249 binary, 258 continuous
Clique table size: 221
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
0        1        0        0        NA                   3.6949884853e+01     NA          3.6   
Cut generation started.
0        2        0        0        NA                   3.6949884853e+01     NA          5.5   
Cut generation terminated. Time = 0.61
15       18       16       3        NA                   3.7216628670e+01     NA          6.6   
31       33       30       4        NA                   3.7345320650e+01     NA          7.3   
60       59       53       5        NA                   3.7527568494e+01     NA          8.3   
109      106      94       6        NA                   3.7906025130e+01     NA          9.6   
173      168      152      6        NA                   3.7906025130e+01     NA          11.0  
303      294      270      7        NA                   3.9883215346e+01     NA          12.1  
519      488      384      11       NA                   4.2063932837e+01     NA          13.2  
879      792      616      14       NA                   4.2167600869e+01     NA          15.0  
1455     1277     916      21       NA                   4.2167600869e+01     NA          16.4  
2319     2057     1242     12       1.2765196263e+02     4.2358664759e+01     66.82       19.4  
3543     3190     2010     16       1.2765196263e+02     4.2385252981e+01     66.80       23.0  
5487     5040     3248     20       1.2765196263e+02     4.2608349395e+01     66.62       27.9  
7803     7186     4760     37       1.2765196263e+02     4.3002341040e+01     66.31       34.7  
10127    9334     6122     30       1.2765196263e+02     4.3377246349e+01     66.02       39.7  
12389    11479    7516     48       1.2765196263e+02     4.3653127894e+01     65.80       45.5  
14657    13636    8994     31       1.2765196263e+02     4.4542442719e+01     65.11       49.9  
16965    15805    10438    40       1.2765196263e+02     4.6532955664e+01     63.55       55.0  
19296    17985    11921    43       1.2765196263e+02     5.1523218382e+01     59.64       60.5  
21611    20154    13364    58       1.2765196263e+02     5.2095017435e+01     59.19       64.8  
23932    22325    14753    58       1.2765196263e+02     5.2935280554e+01     58.53       70.2  
26243    24499    16120    30       1.2765196263e+02     5.3439913546e+01     58.14       74.3  
28597    26679    17570    71       1.2765196263e+02     5.3778257159e+01     57.87       79.0  
30949    28844    19066    43       1.2765196263e+02     5.3812314050e+01     57.84       83.8  
33316    31015    20475    61       1.2765196263e+02     5.4593679544e+01     57.23       87.4  
35710    33188    21885    53       1.2765196263e+02     5.5318717491e+01     56.66       93.1  
38105    35364    23268    31       1.2765196263e+02     5.5745938369e+01     56.33       97.2  
40421    37478    24682    47       1.2765196263e+02     5.6278068616e+01     55.91       101.4 
42822    39651    26049    15       1.2765196263e+02     5.6583712733e+01     55.67       106.4 
45233    41829    27436    24       1.2765196263e+02     5.6909902431e+01     55.42       110.2 
47594    44008    28873    30       1.2765196263e+02     5.7126949045e+01     55.25       115.9 
49973    46195    30258    41       1.2765196263e+02     5.7289973599e+01     55.12       121.0 
52341    48379    31706    36       1.2765196263e+02     5.7456276082e+01     54.99       124.6 
54731    50557    33082    68       1.2765196263e+02     5.7582796593e+01     54.89       130.5 
57087    52739    34552    37       1.2765196263e+02     5.7711077809e+01     54.79       135.0 
59486    54929    35985    18       1.2765196263e+02     5.7856937995e+01     54.68       138.5 
61863    57117    37432    17       1.2765196263e+02     5.7961226725e+01     54.59       143.5 
64248    59304    38889    43       1.2765196263e+02     5.8110980235e+01     54.48       147.8 
66617    61485    40360    37       1.2765196263e+02     5.8192303739e+01     54.41       152.4 
68997    63672    41844    22       1.2765196263e+02     5.8298343326e+01     54.33       157.6 
71375    65862    43288    58       1.2765196263e+02     5.8416370661e+01     54.24       162.6 
73795    68039    44714    27       1.2765196263e+02     5.8476910528e+01     54.19       166.8 
76127    70165    46134    39       1.2765196263e+02     5.8596411196e+01     54.10       172.1 
78497    72349    47548    44       1.2765196263e+02     5.8663194068e+01     54.04       176.4 
80894    74540    49039    16       1.2765196263e+02     5.8748896886e+01     53.98       180.6 
83293    76727    50462    50       1.2765196263e+02     5.8819822749e+01     53.92       185.4 
85654    78903    51873    40       1.2765196263e+02     5.8909461377e+01     53.85       189.5 
88025    81085    53290    20       1.2765196263e+02     5.8974705146e+01     53.80       194.4 
90421    83268    54716    26       1.2765196263e+02     5.9057932400e+01     53.74       199.2 
92792    85450    56163    51       1.2765196263e+02     5.9137801257e+01     53.67       203.5 
