
MOSEK Version 8.0.0.51 (Build date: 2016-12-14 12:53:47)
Copyright (c) MOSEK ApS, Denmark. WWW: mosek.com
Platform: Linux/64-X86

Problem
  Name                   :                 
  Objective sense        : min             
  Type                   : LO (linear optimization problem)
  Constraints            : 3118            
  Cones                  : 0               
  Scalar variables       : 653             
  Matrix variables       : 0               
  Integer variables      : 601             

Optimizer started.
Mixed integer optimizer started.
Threads used: 72
Presolve started.
Presolve terminated. Time = 0.41
Presolved problem: 652 variables, 1601 constraints, 5818 non-zeros
Presolved problem: 0 general integer, 601 binary, 51 continuous
Clique table size: 50
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
0        1        0        0        NA                   2.1539041689e+02     NA          0.8   
Cut generation started.
124399   123395   77250    14       NA                   2.1618078876e+02     NA          88.3  
126057   125044   78224    40       NA                   2.1618088821e+02     NA          89.6  
127723   126700   79240    46       NA                   2.1618106255e+02     NA          90.8  
129373   128336   80242    48       NA                   2.1618805263e+02     NA          92.0  
131029   129978   81270    61       NA                   2.1618805263e+02     NA          93.1  
132646   131586   82299    23       NA                   2.1618809140e+02     NA          94.1  
134335   133257   83314    28       NA                   2.1618812691e+02     NA          95.2  
135990   134898   84343    59       NA                   2.1618813567e+02     NA          96.3  
137680   136567   85377    39       NA                   2.1618815170e+02     NA          97.5  
139382   138250   86373    29       NA                   2.1618815170e+02     NA          98.6  
141013   139871   87430    54       NA                   2.1618913774e+02     NA          99.6  
142589   141436   88388    63       NA                   2.1619305335e+02     NA          100.6 
144279   143111   89420    58       NA                   2.1619305862e+02     NA          101.7 
145984   144805   90465    52       NA                   2.1619309888e+02     NA          102.8 
147715   146511   91458    57       NA                   2.1619460805e+02     NA          103.8 
149367   148153   92458    36       NA                   2.1619479920e+02     NA          104.7 
151064   149820   93469    27       NA                   2.1619604972e+02     NA          105.8 
152719   151457   94508    38       NA                   2.1619666357e+02     NA          107.0 
