
MOSEK Version 8.0.0.51 (Build date: 2016-12-14 12:53:47)
Copyright (c) MOSEK ApS, Denmark. WWW: mosek.com
Platform: Linux/64-X86

Problem
  Name                   :                 
  Objective sense        : min             
  Type                   : LO (linear optimization problem)
  Constraints            : 3118            
  Cones                  : 0               
  Scalar variables       : 653             
  Matrix variables       : 0               
  Integer variables      : 601             

Optimizer started.
Mixed integer optimizer started.
Threads used: 72
Presolve started.
Presolve terminated. Time = 0.91
Presolved problem: 652 variables, 1601 constraints, 5818 non-zeros
Presolved problem: 0 general integer, 601 binary, 51 continuous
Clique table size: 50
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
0        1        0        0        NA                   2.2286115109e+02     NA          1.5   
Cut generation started.
0        2        0        0        NA                   2.2286115109e+02     NA          1.6   
0        3        0        0        NA                   2.2324521818e+02     NA          1.7   
Cut generation terminated. Time = 0.23
15       19       14       3        NA                   2.2332267251e+02     NA          3.1   
28       32       27       4        NA                   2.2334978876e+02     NA          3.3   
54       58       53       5        NA                   2.2336356056e+02     NA          3.5   
106      110      105      6        NA                   2.2337960000e+02     NA          4.0   
177      181      176      7        NA                   2.2337960000e+02     NA          4.3   
321      325      320      7        NA                   2.2337967498e+02     NA          4.7   
609      613      606      11       NA                   2.2337967498e+02     NA          5.3   
1185     1189     1106     18       NA                   2.2339156328e+02     NA          6.0   
2265     2264     1624     11       NA                   2.2339156328e+02     NA          6.9   
3749     3707     2480     24       NA                   2.2339772044e+02     NA          8.1   
5043     4997     3618     14       NA                   2.2342630022e+02     NA          9.3   
6555     6494     4662     15       NA                   2.2342630022e+02     NA          10.5  
8021     7938     5638     38       NA                   2.2348501027e+02     NA          11.7  
9387     9294     6698     28       NA                   2.2350507154e+02     NA          12.9  
10919    10799    7722     36       NA                   2.2351099522e+02     NA          14.4  
12345    12216    8798     31       NA                   2.2351212431e+02     NA          15.8  
13758    13609    9857     20       NA                   2.2355623686e+02     NA          17.0  
15261    15089    10848    37       NA                   2.2356313933e+02     NA          18.2  
16669    16484    11906    30       NA                   2.2360705656e+02     NA          19.5  
18133    17936    12916    36       NA                   2.2360705656e+02     NA          20.9  
19648    19440    13903    55       NA                   2.2362027661e+02     NA          22.3  
21129    20905    14966    21       NA                   2.2363098182e+02     NA          23.5  
22611    22368    15960    31       NA                   2.2363302730e+02     NA          24.8  
24084    23832    16935    48       NA                   2.2363831885e+02     NA          25.9  
25555    25297    17994    43       NA                   2.2364437498e+02     NA          27.0  
27050    26785    19031    54       NA                   2.2364437543e+02     NA          28.0  
28436    28155    20013    29       NA                   2.2365470898e+02     NA          29.1  
29931    29641    21038    15       NA                   2.2365924388e+02     NA          30.1  
31472    31162    22033    33       NA                   2.2366465901e+02     NA          31.0  
33002    32681    23047    31       NA                   2.2366537802e+02     NA          32.0  
34519    34183    24076    68       NA                   2.2366976105e+02     NA          33.1  
35981    35636    25086    26       NA                   2.2367287745e+02     NA          34.0  
37450    37096    26097    23       NA                   2.2367693154e+02     NA          35.0  
