
MOSEK Version 8.0.0.51 (Build date: 2016-12-14 12:53:47)
Copyright (c) MOSEK ApS, Denmark. WWW: mosek.com
Platform: Linux/64-X86

Problem
  Name                   :                 
  Objective sense        : min             
  Type                   : LO (linear optimization problem)
  Constraints            : 2200            
  Cones                  : 0               
  Scalar variables       : 465             
  Matrix variables       : 0               
  Integer variables      : 421             

Optimizer started.
Mixed integer optimizer started.
Threads used: 72
Presolve started.
Presolve terminated. Time = 0.08
Presolved problem: 464 variables, 1135 constraints, 4090 non-zeros
Presolved problem: 0 general integer, 421 binary, 43 continuous
Clique table size: 42
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
0        1        0        0        NA                   1.7262618733e+02     NA          0.4   
Cut generation started.
0        2        0        0        NA                   1.7262618733e+02     NA          0.4   
Cut generation terminated. Time = 0.02
15       18       16       3        NA                   1.7266823934e+02     NA          0.7   
31       34       32       4        NA                   1.7269924338e+02     NA          0.8   
63       66       64       5        NA                   1.7273811889e+02     NA          0.9   
127      130      128      6        NA                   1.7277748841e+02     NA          1.0   
199      202      200      7        NA                   1.7277748841e+02     NA          1.1   
343      346      342      8        NA                   1.7282239220e+02     NA          1.3   
631      634      616      12       NA                   1.7282239220e+02     NA          1.6   
1207     1210     1106     19       NA                   1.7285385539e+02     NA          1.9   
2287     2259     1616     11       NA                   1.7285385539e+02     NA          2.3   
3430     3397     2603     11       NA                   1.7311248361e+02     NA          2.7   
4793     4747     3550     25       NA                   1.7316685597e+02     NA          3.1   
6135     6066     4500     22       NA                   1.7318707349e+02     NA          3.5   
7499     7420     5466     22       NA                   1.7319584741e+02     NA          4.0   
8879     8784     6384     29       NA                   1.7329413176e+02     NA          4.4   
10255    10154    7356     32       NA                   1.7336108795e+02     NA          4.7   
11690    11578    8375     24       NA                   1.7339715690e+02     NA          5.0   
13100    12969    9335     43       NA                   1.7340833885e+02     NA          5.4   
14521    14384    10312    33       NA                   1.7344130219e+02     NA          5.8   
15946    15794    11311    22       NA                   1.7348826118e+02     NA          6.3   
17395    17232    12288    13       NA                   1.7348826118e+02     NA          6.7   
18834    18649    13289    30       NA                   1.7361577930e+02     NA          7.2   
20350    20152    14281    41       NA                   1.7361577930e+02     NA          7.6   
21871    21667    15274    37       NA                   1.7364033539e+02     NA          8.0   
23385    23169    16288    43       NA                   1.7364413542e+02     NA          8.5   
24879    24655    17278    21       NA                   1.7365640743e+02     NA          8.9   
26367    26126    18268    31       NA                   1.7365967941e+02     NA          9.3   
27855    27605    19300    20       NA                   1.7367109554e+02     NA          9.8   
29254    28991    20233    19       NA                   1.7367808626e+02     NA          10.3  
30802    30524    21217    12       NA                   1.7368491021e+02     NA          10.7  
32363    32071    22218    31       NA                   1.7369440020e+02     NA          11.3  
33918    33608    23231    33       NA                   1.7370012383e+02     NA          11.8  
35522    35189    24213    18       NA                   1.7370807768e+02     NA          12.4  
37103    36744    25254    33       NA                   1.7371352212e+02     NA          12.8  
38669    38296    26250    29       NA                   1.7371546012e+02     NA          13.4  
40227    39846    27258    23       NA                   1.7371888116e+02     NA          13.8  
